complaint_id,customer_id,date,transcript,main_concerns,is_repeating_issue,was_issue_resolved,sentiment
SPRT_1,CUST_1,18/08/2023,"Hi, I'm calling because I was double-charged for a purchase at Trader Joe's on August 15th.  The transaction shows up twice on my online statement, both for $78.52. I checked with Trader Joe's, and they confirmed they only processed one transaction. I'd like to get the duplicate charge removed, please. This is frustrating. My account number is [redacted for privacy].",Billing issue,False,True,-0.4
SPRT_2,CUST_1,05/03/2024,"I'm having trouble setting up automatic payments for my credit card through the mobile app. Every time I try to link my checking account, I get an error message that says 'Unable to connect. Please try again later.' I've tried multiple times over the last two days, and it's still not working. The app is fully updated. Is there a known issue, or can you help me resolve this? It is important to pay through my prefered method.",Technical support,True,False,-0.6
SPRT_3,CUST_2,15/08/2023,"I'm calling to dispute a $75 overdraft fee. My account balance was positive when I made the purchase, but the charge posted later, causing the overdraft. It seems like there was a delay in processing, and now I'm being penalized. This isn't fair, as I'm always careful with my budgeting, with a family and children's education costs I plan ahead. Can you please reverse the fee?","Billing issue, Overdraft Fee",False,True,-0.6
SPRT_4,CUST_2,02/11/2023,"I keep receiving notifications for 'low balance' alerts, even though I have over $25,000 in my account! I set the alert threshold much lower. It's annoying and makes me worry unnecessarily. Can you fix this? I've tried adjusting in the app, but it doesn't seem to save the changes. I need these alerts to be accurate for managing household and kids' expenses.","Technical support, Account Alerts",True,False,-0.4
SPRT_5,CUST_2,20/02/2024,"I applied for a personal loan to consolidate some expenses related to a recent home renovation, and i've received conflicting information about the documentation needed. One representative told me I needed X, then another said Y. This is frustrating and slowing down the process. As a Project Manager, I value efficiency, and this experience does not give me much confidence, can you clearify.","Loan Application, Customer Service",False,True,-0.5
SPRT_6,CUST_2,12/04/2024,"I noticed an unauthorized transaction on my debit card for $150 at a store I've never been to. As i almost always use my debit card I need to get this resolved quickly. I am reporting it immediately. I need this investigated and the money returned to my account. I'm  concerned about the security of my account, what steps are you taking?","Fraudulent Transaction, Account Security",False,False,-0.9
SPRT_7,CUST_2,29/06/2024,"I am trying to set up an automatic transfer to my child's 529 college savings plan, but the website is not allowing me to select the right frequency. I only have the option when setting up the account. Considering the college fees I want to make sure correct amount goes in. I have had a busy shedule, but had planned to take care of this banking related issue today.","Online Banking, Technical support",False,True,-0.2
SPRT_8,CUST_3,15/08/2023,"I went to the ATM to withdraw cash, and the machine said 'transaction declined' but didn't give me a reason.  My balance is sufficient. I need cash for groceries, and this is very inconvenient. I called the number on the ATM, and no one answered.","ATM Issue, Access to Funds",False,False,-0.8
SPRT_9,CUST_3,02/10/2023,"I received my monthly statement, and there's a fee I don't understand. It says 'maintenance fee,' but I've never had this before. I'm on a fixed income and every penny counts. I need someone to explain this to me and hopefully remove it.","Unexpected Fee, Billing Issue",False,True,-0.5
SPRT_10,CUST_3,28/11/2023,"I'm calling about the interest rates on savings accounts.  I saw an advertisement for a higher rate, but my account is still earning the old, lower rate.  I've been a loyal customer for years.  Can you explain why I'm not getting the better rate?",Interest Rate Inquiry,False,True,-0.2
SPRT_11,CUST_3,18/01/2024,"I tried to use my debit card at the pharmacy, and it was declined. This is embarrassing and frustrating! I know I have money in my account. I double checked online banking to confirm, can you urgently tell me why is that.","Card Declined, Access to Funds",False,False,-0.7
SPRT_12,CUST_3,05/03/2024,"I'm having trouble understanding the online banking website. I want to view my statements, but I can't find them. The layout is confusing. Could someone walk me through it, or is there a simpler way to get my statements?","Technical Support, Online Banking",True,True,-0.3
SPRT_13,CUST_3,22/04/2024,"I received a call from someone claiming to be from the bank, asking for my account details and social security number. They said there was suspicious activity.  I didn't give them anything, but I'm worried. Was this a real call from the bank?","Fraud Alert, Security Concern",False,True,-0.6
SPRT_14,CUST_3,10/05/2024,"I visited the local branch last week and waited over 30 minutes to speak with a teller. There was only one person working, and the line was very long. This is unacceptable. I needed to deposit a check.","Long Wait Times, Branch Service",True,False,-0.9
SPRT_15,CUST_3,29/05/2024,"When checking my balance online, the website timed out several times before I could complete my request.I'm concerned my attempted action will reflect multiple times.","Technical issue, Website Issue",True,False,-0.4
SPRT_16,CUST_3,12/06/2024,"I am writing to inquire about options for setting up automatic bill payments. I'd like to pay my utility bills directly from my checking account, and the agent on the phone was very unhelpful and brash.","Customer Service, Bill Payment Setup",False,False,-0.5
SPRT_17,CUST_3,26/06/2024,"I keep receiving pre-approved credit card offers in the mail. I'm not interested in any more credit cards, and I want these mailings to stop. I am retired and on a fix budget.","Unwanted Mail, Marketing Offers",True,True,-0.3
