transaction_id,org_id,date,platform,payment_method,amount,location,expense_category,expense_sub_category,vendor,transaction_type
TXN_1,ORG_1,15/08/2023,Online,ACH,150000.0,California,Salaries,Salaries,ADP,Payment
TXN_2,ORG_1,18/08/2023,Online,Wire Transfer,25000.0,Remote,Software Licenses,Cloud Services,AWS,Payment
TXN_3,ORG_1,22/08/2023,Vendor Portal,Credit Card,15000.0,Remote,Marketing,Digital Ads,Google,Payment
TXN_4,ORG_1,28/08/2023,Bank Transfer,Wire Transfer,50000.0,California,Office Rent,Office Space,CBRE Group,Payment
TXN_5,ORG_1,02/09/2023,ERP System,ACH,70050.0,Remote,R&D,Software Development Tools,Atlassian,Payment
TXN_6,ORG_1,05/09/2023,Online,Wire Transfer,100000.0,California,R&D,Contractors,Upwork,Payment
TXN_7,ORG_1,05/09/2023,Online,ACH,9973.5,California,Loan,Principal Repayment,Comerica Bank,Payment
TXN_8,ORG_1,05/09/2023,Online,ACH,76.5,California,Loan,Interest payment,Comerica Bank,Payment
TXN_9,ORG_1,15/04/2023,Online,ACH,150000.0,California,Salaries,Salaries,ADP,Payment
TXN_10,ORG_1,18/04/2023,Bank Transfer,Wire Transfer,25000.0,California,Office Rent,Rent,CBRE Group,Payment
TXN_11,ORG_1,22/04/2023,Vendor Portal,ACH,35000.0,Remote,Software Licenses,Cloud Services,Amazon Web Services,Payment
TXN_12,ORG_1,25/04/2023,Online,Credit Card,10000.0,Remote,Marketing,Digital Ads,Google,Payment
TXN_13,ORG_1,29/04/2023,Online,ACH,70000.0,Remote,R&D,Consulting services,ExpertConsulting LLC,Payment
TXN_14,ORG_1,02/05/2023,Bank Transfer,Wire Transfer,20000.0,California,Software Licenses,CRM Software,Salesforce,Payment
TXN_15,ORG_1,16/05/2023,Online,ACH,155000.0,California,Salaries,Salaries,ADP,Payment
TXN_16,ORG_1,18/05/2023,Bank Transfer,Wire Transfer,25000.0,California,Office Rent,Rent,CBRE Group,Payment
TXN_17,ORG_1,20/05/2023,Online,Credit Card,90000.0,Remote,R&D,Cloud research platform,Azure,Payment
TXN_18,ORG_1,23/05/2023,Online,Credit Card,10000.0,Remote,Marketing,Digital Ads,Facebook,Payment
TXN_19,ORG_1,26/05/2023,ERP System,ACH,30000.0,California,Software Licenses,Project Management Software,Atlassian,Payment
TXN_20,ORG_1,01/06/2023,Bank,Direct Deposit,3000000.0,California,Revenue,Service income,Client A,Deposit
TXN_21,ORG_1,08/09/2023,Bank,Wire Transfer,10000.0,California,Loan,Loan Payment,Bank of America,Payment
TXN_22,ORG_2,18/07/2023,Online,ACH,37500.0,Florida,Medical Supplies,Surgical Instruments,Henry Schein Inc.,Payment
TXN_23,ORG_2,20/07/2023,Bank Transfer,ACH,62000.0,Florida,Salaries,Salaries,ADP,Payment
TXN_24,ORG_2,22/07/2023,Online,ACH,4500.0,Florida,Utilities,Electricity,Florida Power & Light,Payment
TXN_25,ORG_2,25/07/2023,Online,ACH,12000.0,Florida,Insurance,Liability Insurance,The Hartford,Payment
TXN_26,ORG_2,28/07/2023,Online,ACH,32000.0,Florida,Medical Supplies,Pharmaceuticals,McKesson Corporation,Payment
TXN_27,ORG_2,02/08/2023,Bank Transfer,ACH,6500.0,Florida,Equipment Maintenance,MRI Machine Maintenance,GE Healthcare,Payment
TXN_28,ORG_2,05/08/2023,Online,ACH,58000.0,Florida,Salaries,Salaries,ADP,Payment
TXN_29,ORG_2,08/08/2023,Online,ACH,42000.0,Florida,Medical Supplies,Diagnostic Equipment Supplies,Medline Industries,Payment
TXN_30,ORG_2,10/08/2023,Online,ACH,12000.0,Florida,Insurance,Property Insurance,State Farm,Payment
TXN_31,ORG_2,12/08/2023,Online,ACH,40000.0,Florida,Medical Supplies,General Medical Supplies,Cardinal Health,Payment
TXN_32,ORG_2,15/08/2023,Online,ACH,7000.0,Florida,Equipment Maintenance,General Equipment Servicing,Siemens Healthineers,Payment
TXN_33,ORG_2,16/08/2023,Bank Transfer,ACH,4500.0,Florida,Utilities,Water,Aqua America,Payment
TXN_34,ORG_2,16/08/2023,Online,Check,27000.0,Florida,Medical Supplies,Lab Supplies,Thermo Fisher Scientific,Payment
TXN_35,ORG_2,18/07/2023,Online,ACH,75000.0,Florida,Salaries,Salaries,ADP,Payment
TXN_36,ORG_2,20/07/2023,Online,ACH,32000.0,Florida,Medical Supplies,General Supplies,McKesson Medical-Surgical,Payment
TXN_37,ORG_2,22/07/2023,Bank Transfer,ACH,5500.0,Florida,Utilities,Electricity,Florida Power & Light,Payment
TXN_38,ORG_2,25/07/2023,Online,ACH,12000.0,Florida,Insurance,Liability Insurance,The Hartford,Payment
TXN_39,ORG_2,28/07/2023,Online,ACH,75000.0,Florida,Salaries,Salaries,ADP,Payment
TXN_40,ORG_2,29/07/2023,Vendor Portal,ACH,8500.0,Remote,Equipment Maintenance,Diagnostic Equipment,Siemens Healthineers,Payment
TXN_41,ORG_2,02/08/2023,Online,ACH,20000.0,Florida,Medical Supplies,Pharmaceuticals,Cardinal Health,Payment
TXN_42,ORG_2,05/08/2023,Bank Transfer,ACH,56000.0,Florida,Medical Supplies,Surgical Instruments,Stryker Corporation,Payment
TXN_43,ORG_2,08/08/2023,ERP System,ACH,47000.0,Florida,Equipment Maintenance,IT Equipment,Dell,Payment
TXN_44,ORG_2,09/08/2023,Online,ACH,35000.0,Florida,Salaries,Salaries,ADP,Payment
