ticket_id,org_id,date,transcript,issue_type,priority,is_repeating_issue,was_issue_resolved,resolution_time,sentiment
TICK_1,ORG_1,15/08/2023,"Agent: Good morning, TechSolutions Inc., how can I help you?  Rep: We initiated a wire transfer to vendor 'Acme Corp' on the 12th, confirmation number WRT789456.  It hasn't been received yet.  Agent:  Let me check the status. ... It appears there was a slight delay due to a missing SWIFT code. I've updated the information. It should be processed within the next 2 hours. Rep: Please confirm via email. Agent: Will do.",Payment Processing Issue,Medium,False,True,2 hours,0.3
TICK_2,ORG_1,02/11/2023,"Agent: Corporate Banking Support, this is Sarah.  Rep:  Hi Sarah, this is John from TechSolutions. We're exploring options for a line of credit to fund expansion into a new market. Can you provide information on current rates and required documentation?  Agent:  Certainly.  Given your company's credit rating and financial history, you likely qualify for our Growth Advantage program. I'll email you a detailed overview and the application forms. We can schedule a follow-up call to discuss specifics. Rep: Excellent, thank you.",Loan Application,Medium,False,True,10 minutes,0.9
TICK_3,ORG_1,18/01/2024,"Agent: Thank you for calling. Rep: I'm unable to access the online banking portal.  I've tried resetting my password, but it's still not working. I need to approve several urgent payments. Agent: Let me verify your account details... Okay, it appears there was a temporary system-wide outage affecting some users. It's resolved now. Please try logging in again. Rep: It's working now.  Thank you. Agent: You are welcome.",Technical Support,High,True,True,30 minutes,0.2
TICK_4,ORG_1,29/02/2024,"Rep: Good morning. We noticed several large, unauthorized transactions on our corporate account statement. Transaction IDs are AB123, CD456, and EF789. They are not familiar to us, we believe to be fraudulent.Agent: I understand. Let me flag those transactions immediately and initiate a fraud investigation. We'll place a temporary hold on your account for security. A specialist will contact you within the hour to gather more information. This is a serious issue, apologies. Rep: Thank you. Agent: We will resolve this quickly. ",Fraud Alert,Critical,False,False,Not resolved,-0.8
TICK_5,ORG_1,12/04/2024,"Agent: How can I assist you today? Rep: We're reviewing our current banking fees and would like to understand the charges associated with international wire transfers. Specifically, fees for transfers to Europe and Asia. Agent: Certainly. Let me pull up your account details and the current fee schedule. ... For Eurozone transfers, the fee is X, and for Asian transfers, it varies by country, ranging from Y to Z. I can send you a detailed breakdown. Rep: That would be helpful, thank you.",General Inquiry,Low,False,True,15 minutes,0.7
TICK_6,ORG_1,25/05/2024,"Rep: Hello, I need to update the authorized signatories on our corporate account. We've had some recent changes in our executive team. Agent: Okay. To update signatories, you'll need to submit a formal request on company letterhead, along with supporting documentation, such as board resolutions. I can email you the specific requirements and the necessary forms. Rep: Perfect. Please send that to the email on file.",Account Management,Medium,False,True,5 minutes,0.6
TICK_7,ORG_1,08/06/2024,"Agent: Corporate Banking, how may I help? Rep: I'm calling to request a bank guarantee for a new contract we're signing with GlobalTech Solutions. The guarantee needs to be for $500,000. Agent: I can assist with that. What is the beneficiary's information and the contract's expiry date? Rep: Beneficiary is GlobalTech Solutions, address is [Address], and the contract expires on [Date]. Agent: Understood, I will prepare documentations for you to review, we can finalize this by next week.",Service Request,Medium,False,True,2 days,0.8
TICK_8,ORG_1,15/07/2024,"Rep: I am trying to reconcile last months transactions, there is one transaction that appears twice under ID TRX9922. Agent: Please hold while I retrieve the transaction data... You are correct Sir, it seems there has been a duplictaion. Rep: How long until this can be reversed? Agent: I have already sent this to the proper departmenet, I will send you a confirmation email within the next hour once the amount is back in your account..",Payment Processing Issue,High,False,True,1 hour,0.4
TICK_9,ORG_2,15/08/2023,"Representative: Good morning, I'm calling from MediCare Providers LLC. We noticed a delay in a recent ACH payment to a vendor. Can you please check its status?
Bank: Certainly. Please provide the transaction details. ... We see the payment was processed, but there was a delay on the receiving bank's end. We'll follow up with them.",Payment Processing Issue,Medium,False,True,2 hours,0.2
TICK_10,ORG_2,02/09/2023,"Representative: We're exploring options for financing a new medical equipment purchase. Can we schedule a meeting with a business loan specialist?
Bank: Absolutely. I can arrange a meeting for you. What is your availability next week?",Loan Application,Medium,False,True,1 hour,0.7
