transaction_id,customer_id,date,platform,payment_method,amt,location,item_category,item_sub_category,item_brand
TXN_1,CUST_1,18/08/2023,Amazon,Credit Card,125.5,California,Children's expenses,School Supplies,Various
TXN_2,CUST_1,22/08/2023,Offline,Credit Card,210.0,California,Groceries,"Produce, Dairy, Meat",Trader Joe's
TXN_3,CUST_1,29/08/2023,Online,Credit Card,75.8,California,Entertainment,Streaming Service,Netflix
TXN_4,CUST_1,05/09/2023,Offline,Credit Card,185.2,California,Groceries,General Groceries,Safeway
TXN_5,CUST_1,12/09/2023,Online,Credit Card,95.0,California,Children's expenses,Clothing,Old Navy
TXN_6,CUST_1,16/09/2023,Offline,Cash,60.0,California,Entertainment,Movies,AMC Theatres
TXN_7,CUST_1,23/09/2023,Online,Credit Card,45.5,California,Home Improvement,Decor,Target
TXN_8,CUST_1,03/10/2023,Offline,Credit Card,230.75,California,Groceries,General Groceries,Ralphs
TXN_9,CUST_1,10/10/2023,Online,Zelle,500.0,California,Transfer,Savings,Personal Account
TXN_10,CUST_1,19/10/2023,Offline,Credit Card,112.99,California,Apparel,Shoes,Nike
TXN_11,CUST_1,27/10/2023,Online,Credit Card,35.45,California,Dining,Restaurant,Chipotle
TXN_12,CUST_1,02/11/2023,Offline,Debit Card,950.0,California,Home Improvement,Hardware Store,Home Depot
TXN_13,CUST_1,15/11/2023,Offline,Credit Card,65.32,California,Groceries,General,Vons
TXN_14,CUST_1,05/12/2023,Amazon,Credit Card,115.49,California,Children's expenses,Toys,Various
TXN_15,CUST_2,15/08/2023,Offline,Debit Card,125.5,Florida,Healthcare,Pharmacy,CVS
TXN_16,CUST_2,22/08/2023,Online,Debit Card,450.0,Florida,Travel,Flights,Delta Airlines
TXN_17,CUST_2,29/08/2023,Offline,Debit Card,75.8,Florida,Dining,Restaurant,Olive Garden
TXN_18,CUST_2,05/09/2023,Offline,Debit Card,62.3,Florida,Groceries,Food,Publix
TXN_19,CUST_2,12/09/2023,Online,Debit Card,120.0,Florida,Travel,Hotel,Marriott
TXN_20,CUST_2,19/09/2023,Offline,Debit Card,35.0,Florida,Dining,Fast Food,McDonald's
TXN_21,CUST_2,26/09/2023,Online,Zelle,500.0,Florida,Transfer,Family Support,Zelle
TXN_22,CUST_2,03/10/2023,Offline,Debit Card,95.2,Florida,Healthcare,Pharmacy,Walgreens
TXN_23,CUST_2,10/10/2023,Online,Debit Card,22.0,Florida,Entertainment,Streaming Service,Netflix
TXN_24,CUST_2,17/10/2023,Offline,Debit Card,185.95,Florida,Home Goods,Home Improvement,Home Depot
TXN_25,CUST_2,24/10/2023,Offline,Debit Card,89.75,Florida,Dining,Restaurant,Red Lobster
TXN_26,CUST_2,31/10/2023,Online,Debit Card,328.0,Florida,Travel,Cruise,Royal Caribbean
TXN_27,CUST_2,07/11/2023,Offline,Debit Card,55.6,Florida,Groceries,Food,Publix
TXN_28,CUST_2,15/11/2023,Offline,Cash,60.0,Florida,Dining,Restaurant,Local Diner
TXN_29,CUST_2,22/11/2023,Online,Debit Card,250.0,Florida,Healthcare,Doctor Visit,Florida Medical Clinic
TXN_30,CUST_2,01/12/2023,Online,Debit Card,75.0,Florida,Apparel,Shoes,Nike
TXN_31,CUST_2,15/12/2023,Amazon,Debit Card,92.0,Florida,Electronics,Accessories,Anker
TXN_32,CUST_2,16/01/2024,Offline,Debit Card,650.0,Florida,Healthcare,Insurance,UnitedHealthcare
TXN_33,CUST_2,23/12/2023,Online,Debit Card,89.0,Florida,Apparel,Clothing,Under Armour
TXN_34,CUST_2,27/07/2023,Online,Debit Card,690.0,Florida,Healthcare,Dental,SmileDirectClub
TXN_35,CUST_3,18/07/2023,Online,Debit Card,750.0,Texas,Rent,Apartment Rent,N/A
TXN_36,CUST_3,20/07/2023,Online,Debit Card,125.5,Texas,Utilities,Electricity Bill,TXU Energy
TXN_37,CUST_3,22/07/2023,Online,Debit Card,65.0,Texas,Utilities,Internet Bill,Spectrum
TXN_38,CUST_3,25/07/2023,Online,Debit Card,55.8,Texas,Food,Groceries,H-E-B
TXN_39,CUST_3,30/07/2023,Offline,Debit Card,32.2,Texas,Food,Restaurant,McDonald's
TXN_40,CUST_3,05/08/2023,Online,Credit Card,150.0,Texas,Debt,Loan Payment,N/A
TXN_41,CUST_3,12/08/2023,Online,Debit Card,45.0,Texas,Food,Groceries,Walmart
TXN_42,CUST_3,19/08/2023,Offline,Cash,25.0,Texas,Entertainment,Movies,AMC Theatres
TXN_43,CUST_3,28/08/2023,Amazon,Debit Card,35.0,Texas,Personal Care,Shampoo & Conditioner,Head & Shoulders
TXN_44,CUST_3,05/09/2023,Online,Debit Card,750.0,Texas,Rent,Apartment Rent,N/A
TXN_45,CUST_3,08/09/2023,Online,Zelle,40.0,Texas,Transfer,Money to Friend- Split dinner,N/A
TXN_46,CUST_3,12/09/2023,Offline,Debit Card,72.5,Texas,Food,Groceries,Kroger
TXN_47,CUST_3,19/09/2023,Online,Debit Card,17.99,Texas,Entertainment,Streaming Service,Netflix
TXN_48,CUST_3,26/09/2023,Online,Debit Card,88.01,Texas,Food,Groceries,H-E-B
TXN_49,CUST_4,12/07/2023,Amazon,Credit Card,125.5,New York,Home Goods,Kitchen Appliances,Cuisinart
TXN_50,CUST_4,18/07/2023,Offline,Credit Card,85.99,New York,Dining,Restaurant,The Smith
TXN_51,CUST_4,25/07/2023,Online,Credit Card,1200.0,New York,Travel,Flights,Delta Airlines
TXN_52,CUST_4,02/08/2023,Online,Credit Card,350.75,New York,Shopping,Clothing,Theory
TXN_53,CUST_4,09/08/2023,Online,Zelle,1000.0,New York,Investments,Stock Purchase,Vanguard
TXN_54,CUST_4,16/08/2023,Offline,Credit Card,95.2,New York,Dining,Restaurant,Via Carota
TXN_55,CUST_4,23/08/2023,Online,Credit Card,78.5,New York,Shopping,Shoes,Cole Haan
TXN_56,CUST_4,30/08/2023,Amazon,Credit Card,45.68,New York,Books,Fiction,Penguin Random House
TXN_57,CUST_4,05/09/2023,Offline,Credit Card,185.3,New York,Shopping,Accessories,Tumi
TXN_58,CUST_4,15/09/2023,Offline,Credit Card,68.95,New York,Dining,Restaurant,Joe Allen
TXN_59,CUST_4,21/09/2023,Online,Credit Card,2250.0,New York,Travel,Hotel,Four Seasons
TXN_60,CUST_4,01/10/2023,Online,Debit Card,250.0,New York,Investments,ETF Purchase,BlackRock
TXN_61,CUST_4,10/10/2023,Offline,Credit Card,65.43,New York,Dining,Restaurant,ABC Kitchen
TXN_62,CUST_5,18/07/2023,Online,Credit Card,1100.0,Illinois,Rent,Apartment Rent,N/A
TXN_63,CUST_5,22/07/2023,Amazon,Debit Card,125.0,Illinois,Technology,Headphones,Sony
TXN_64,CUST_5,05/08/2023,Online,Zelle,60.0,Illinois,Entertainment,Concert Ticket,Ticketmaster
TXN_65,CUST_5,12/08/2023,Offline,Debit Card,45.5,Illinois,Food,Restaurant,Local Restaurant
TXN_66,CUST_5,28/08/2023,Online,Credit Card,250.0,Illinois,Travel,Flight Ticket,United Airlines
TXN_67,CUST_5,02/09/2023,Online,Debit Card,85.0,Illinois,Technology,Drawing Tablet Accessory,Wacom
TXN_68,CUST_5,15/09/2023,Online,Credit Card,1100.0,Illinois,Rent,Apartment Rent,N/A
TXN_69,CUST_5,01/10/2023,Offline,Debit Card,35.75,Illinois,Food,Groceries,Trader Joe's
TXN_70,CUST_5,10/10/2023,Online,Venmo,55.0,Illinois,Entertainment,Movie Tickets,AMC Theatres
TXN_71,CUST_5,15/10/2023,Amazon,Debit Card,43.75,Illinois,Apparel,T-Shirt,Uniqlo
