ticket_id,org_id,date,transcript,issue_type,priority,is_repeating_issue,was_issue_resolved,resolution_time,sentiment
TICK_1,ORG_1,15/08/2023,"Agent: Good morning, Innovate Solutions Tech, how can I help?  Rep: We're seeing a delay in processing a wire transfer sent yesterday.  Reference number WT789456.  Agent: Let me check that for you. ... Okay, I see it's pending due to a secondary verification hold. It should be released within 2 hours. Rep: Please expedite; it's for critical vendor payment.",Payment Processing Issue,High,False,True,3 hours,-0.3
TICK_2,ORG_1,02/11/2023,"Rep: I'm calling to inquire about the status of our loan application submitted last week.  Agent:  Let me pull up your application... It's currently under review by the credit committee. We expect a decision by end of business tomorrow. Rep: Okay, thank you. Please keep us updated.",Loan Application,Medium,False,True,1 day,0.2
TICK_3,ORG_1,18/01/2024,"Rep: I am having issues accessing the online banking portal. I keep getting an error message saying, 'Invalid Credentials,' even though I'm sure I'm using the correct password. Agent: I can reset your password for you.  Please verify your account details... Okay, your password has been reset.  You'll receive an email with a temporary password.",Technical Support,Medium,False,True,15 minutes,0.1
TICK_4,ORG_1,22/02/2024,"Rep: We noticed an unusual transaction on our account statement – a debit of $50,000 that we don't recognize. Transaction ID is ABC123XYZ. Agent: Let me investigate. ... That transaction is flagged for potential fraud. We've temporarily blocked your card.  We'll need to verify some recent activity. Rep: Please expedite the resolution.",Fraud Alert,Critical,False,False,Not resolved,-0.8
TICK_5,ORG_1,10/03/2024,"Rep: We'd like to request an increase in our daily wire transfer limit. We have a large payment due to a new software vendor next month. Agent: I can assist with that. What limit are you requesting? Rep: We need it raised to $250,000. Agent: Okay, I'll submit the request. It requires approval, which usually takes 24-48 hours.",Service Request,Medium,False,True,2 days,0.4
TICK_6,ORG_1,25/04/2024,"Rep: I'm calling to get clarification on the interest rate applied to our current line of credit. The statement seems higher than expected. Agent: Let me pull up your account details...  The rate is variable and tied to the prime rate, which increased last month. You were notified via email.",Account Inquiry,Low,False,True,1 hour,-0.2
TICK_7,ORG_1,12/05/2024,"Rep: We have a series of international wire transfers to schedule, primarily to vendors in Europe. Can you advise on the best way to manage currency exchange and minimize fees? Agent: Yes, we offer foreign exchange services with competitive rates. I can connect you to a specialist to discuss hedging options.",Foreign Exchange Inquiry,Medium,False,True,1 day,0.6
TICK_8,ORG_1,03/06/2024,Rep: Our CFO needs access to the online banking platform with view-only privileges. Can you set that up? Agent: Certainly. Please provide their full name and email address. I'll create a new user profile with limited access.,User Account Management,Low,False,True,2 hours,0.3
TICK_9,ORG_1,19/06/2024,Rep: We're receiving duplicate statements in the mail. We only need one copy. Agent: I apologize for the inconvenience. I've updated your statement delivery preferences to receive only one copy.,Statement Delivery,Low,True,True,30 minutes,0.1
TICK_10,ORG_1,29/06/2023,"Rep: We tried to make a large payment for software licences, but it was declined for insufficient funds. Though, according to our records, we should have enough. Agent: Let me see... There was a hold placed on your account due to a large incoming wire transfer that hasn't cleared yet. Rep: Can you release the hold? We need to make this payment today. Agent: I'll do my best, but it depends. Let me see.",Payment Processing Issue,High,True,False,Not resolved,-0.6
TICK_11,ORG_1,07/07/2023,"Rep: I'm calling to inquire about options for short-term financing to cover a temporary cash flow gap. Agent: We offer various short-term loan products and lines of credit. Can you tell me more about your specific needs, including the amount and repayment timeline? Rep: Approximately $200,000, repayment within 90 days.",Loan Inquiry,Medium,False,True,2 days,0.5
TICK_12,ORG_1,12/07/2024,"Agent: Hello, Innovate Solutions, how can I help?. Rep: I have not been able to reach any of our contacts in the bank for several days, calls are going to voicemail, emails are not being responded. I need to speak to someone about escalating a previous support issue urgently. Agent: Apologizes, I will escalate this internally. ",Account Management,High,True,False,Not resolved,-0.7
TICK_13,ORG_2,12/08/2023,Good morning.  We're seeing a delay in the posting of an ACH payment sent yesterday for payroll.  Can you confirm its status? The confirmation number is ACH12987.,Payment Processing Issue,High,False,True,2 hours,0.3
TICK_14,ORG_2,25/09/2023,"Hello, I need to update the authorized signers on our business account.  We have had a change in our CFO. Please send me the necessary paperwork.",Account Management,Medium,False,True,1 day,0.7
TICK_15,ORG_2,18/10/2023,I'm calling to inquire about current interest rates on a short-term line of credit. We're considering expanding our services.,Loan Application,Low,False,True,2 days,0.6
TICK_16,ORG_2,03/11/2023,"We noticed an unusual transaction on our account statement.  A debit of $5,000 to 'MedEquip Suppliers' that we don't recognize.",Fraud Alert,Critical,False,True,24 hours,-0.8
TICK_17,ORG_2,17/11/2023,"Hi, I'm having trouble logging into the online banking portal.  I've tried resetting my password, but I'm still getting an error.",Technical Support,Medium,False,True,1 hour,-0.2
TICK_18,ORG_2,01/12/2023,Good afternoon. We need to order new checkbooks for our operating account.,Account Management,Low,False,True,3 days,0.5
TICK_19,ORG_2,15/12/2023,"I'm calling to dispute an ACH transaction that was processed incorrectly. The amount was for $1,200, should have been $1,000. Our vendor ref is 'Supplies4U'.",Payment Processing Issue,High,False,True,3 days,-0.5
TICK_20,ORG_2,28/12/2023,I'd like information on setting up wire transfers for international payments.  We're starting to source supplies from overseas.,Account Management,Medium,False,True,1 day,0.7
TICK_21,ORG_2,09/01/2024,Our online banking access is very slow. It's taking several minutes to load each page. This is impacting our ability to reconcile accounts.,Technical Support,Medium,True,False,Not resolved,-0.6
TICK_22,ORG_2,23/01/2024,We received a notice about a potential security breach. Can you confirm if our account was affected?,Fraud Alert,Critical,False,True,4 hours,-0.7
TICK_23,ORG_2,06/02/2024,I need to increase our daily ACH transfer limit. We have a large payment due to a supplier next week.,Account Management,High,False,True,1 day,0.4
TICK_24,ORG_2,20/02/2024,I'm calling to get a copy of our account statements for the past six months. We need them for our annual audit.,Account Management,Low,False,True,1 day,0.5
TICK_25,ORG_2,05/03/2024,We're having trouble reconciling our account. There's a discrepancy of $250 that we can't account for.,Payment Processing Issue,Medium,False,True,2 days,-0.3
TICK_26,ORG_2,19/03/2024,"Good morning. We made a payment to a vendor two days ago through online banking, but they claim not to have received it. Can you please trace it back to check what happened? The amount was $4,500.",Payment Processing Issue,High,False,True,1 day,0.2
TICK_27,ORG_2,02/04/2024,I need to update our business address on file. We recently relocated our administrative offices.,Account Management,Medium,False,True,2 days,0.6
TICK_28,ORG_2,16/04/2024,"We are experiencing difficulties in downloading bank statements in CSV format, we get an error message 'Format not valid'. It was working fine last month.",Technical Support,Medium,False,True,4 hours,0.1
TICK_29,ORG_2,30/04/2024,Is there a way to automatically sweep excess funds from our operating account into a higher-yield savings account?,Account Management,Low,False,True,3 days,0.7
TICK_30,ORG_2,14/05/2024,"The check images on our online account are not appearing, there is not error message, just the place holders.  Can you please look into this?",Technical Support,Medium,False,True,2 hours,0
TICK_31,ORG_2,28/05/2024,"I need to speak to someone regarding fees being charged on our account. We were told certain fees would be waived, but we are still seeing them on our statement.",Account Management,Medium,True,False,Not resolved,-0.7
TICK_32,ORG_2,11/06/2024,We're considering refinancing our existing loan.  What are the current rates and terms available?,Loan Application,Low,False,True,4 days,0.5
TICK_33,ORG_2,25/06/2024,"We have a payroll ACH file to upload, and for some reason, the page in Online Banking is not loading correctly, just shows a blank page.",Technical Support,High,False,True,3 hours,-0.2
TICK_34,ORG_2,09/07/2024,"Hello, I need to change the scheduled date of an automatic payment of a utility bill, from the 15th to the 20th of each month.",Payment Processing Issue,Medium,False,True,1 day,0.6
TICK_35,ORG_2,23/07/2024,"I'm trying to change the email address for our monthly statements and alerts, but the field is not editable.",Technical Support,Low,False,True,2 hours,0.3
TICK_36,ORG_2,06/08/2024,"We received an email warning that our online credentials might have been compromised, but we are not sure if it comes from the bank, it has several grammar mistakes.",Fraud Alert,Critical,False,True,4 hours,-0.85
TICK_37,ORG_2,07/08/2024,"Two ACH payments from last week, amounting 5500 each one, have yet to clear in our balance.",Payment Processing Issue,High,False,False,Not resolved,-0.7
TICK_38,ORG_3,12/01/2024,"Agent: Good morning, Global Trade Manufacturing. John speaking.  Representative: Hi John, this is Sarah from accounting. We're trying to reconcile our recent wire transfer to a supplier in China, but the confirmation hasn't come through. Can you check the status? Agent: Certainly, I can help with that. Can I have the transaction ID or date and amount? Representative: Yes, the transaction ID is WX12345678. Agent: One moment... Okay, it seems to be processing. There might be some delays due to international processing times. I'll escalate this and get back to you within the hour.",Payment Processing Issue,Medium,False,True,2 hours,0.2
